item_1,item_2,frequency
ITEM_1977,ITEM_4812,1
ITEM_1738,ITEM_865,1
ITEM_253,ITEM_904,1
ITEM_1851,ITEM_3194,1
ITEM_204,ITEM_2758,1
ITEM_3529,ITEM_4628,1
ITEM_2531,ITEM_4360,1
ITEM_2038,ITEM_76,1
ITEM_3385,ITEM_4011,1
ITEM_1136,ITEM_4086,1
ITEM_183,ITEM_910,1
ITEM_1046,ITEM_4488,1
ITEM_3910,ITEM_4507,1
ITEM_4560,ITEM_4845,1
ITEM_2055,ITEM_753,1
ITEM_2284,ITEM_4950,1
ITEM_1063,ITEM_4055,1
ITEM_257,ITEM_994,1
ITEM_2704,ITEM_3637,1
ITEM_1621,ITEM_3219,1
ITEM_2320,ITEM_4350,1
ITEM_117,ITEM_4949,1
ITEM_1286,ITEM_957,1
ITEM_4150,ITEM_4246,1
ITEM_4247,ITEM_767,1
ITEM_1310,ITEM_4204,1
ITEM_3037,ITEM_848,1
ITEM_1403,ITEM_212,1
ITEM_688,ITEM_765,1
ITEM_1146,ITEM_858,1
ITEM_194,ITEM_4533,1
ITEM_2474,ITEM_3892,1
ITEM_4058,ITEM_4061,1
ITEM_243,ITEM_2658,1
ITEM_3754,ITEM_4766,1
ITEM_1216,ITEM_3195,1
ITEM_1564,ITEM_2878,1
ITEM_2228,ITEM_2295,1
ITEM_2420,ITEM_2577,1
ITEM_1824,ITEM_3493,1
ITEM_3646,ITEM_588,1
ITEM_3112,ITEM_4502,1
ITEM_2400,ITEM_2558,1
ITEM_3127,ITEM_4345,1
ITEM_4163,ITEM_4183,1
ITEM_1315,ITEM_560,1
ITEM_1679,ITEM_3918,1
ITEM_2768,ITEM_892,1
ITEM_130,ITEM_345,1
ITEM_292,ITEM_4904,1
ITEM_1692,ITEM_666,1
ITEM_3358,ITEM_3907,1
ITEM_1380,ITEM_1930,1
ITEM_1691,ITEM_777,1
ITEM_3842,ITEM_3934,1
ITEM_3901,ITEM_626,1
ITEM_1865,ITEM_3369,1
ITEM_2114,ITEM_729,1
ITEM_3686,ITEM_4614,1
ITEM_1634,ITEM_1880,1
ITEM_3365,ITEM_4278,1
ITEM_3674,ITEM_632,1
ITEM_3647,ITEM_3867,1
ITEM_2570,ITEM_3054,1
ITEM_2773,ITEM_4407,1
ITEM_1904,ITEM_3173,1
ITEM_1287,ITEM_2079,1
ITEM_2423,ITEM_2973,1
ITEM_1714,ITEM_4323,1
ITEM_1350,ITEM_1882,1
ITEM_2557,ITEM_3690,1
ITEM_2596,ITEM_4219,1
ITEM_2174,ITEM_2702,1
ITEM_4905,ITEM_964,1
ITEM_3445,ITEM_4520,1
ITEM_1628,ITEM_2630,1
ITEM_2813,ITEM_4998,1
ITEM_156,ITEM_620,1
ITEM_2756,ITEM_502,1
ITEM_1281,ITEM_3677,1
ITEM_1780,ITEM_3805,1
ITEM_455,ITEM_748,1
ITEM_2746,ITEM_3755,1
ITEM_2558,ITEM_2875,1
ITEM_1972,ITEM_420,1
ITEM_1863,ITEM_2450,1
ITEM_1214,ITEM_2826,1
ITEM_1601,ITEM_4789,1
ITEM_1744,ITEM_2736,1
ITEM_2574,ITEM_3430,1
ITEM_3711,ITEM_4307,1
ITEM_2753,ITEM_3245,1
ITEM_438,ITEM_4700,1
ITEM_1647,ITEM_3630,1
ITEM_1708,ITEM_178,1
ITEM_3984,ITEM_4195,1
ITEM_2841,ITEM_3018,1
ITEM_4165,ITEM_4359,1
ITEM_3881,ITEM_4362,1
ITEM_1473,ITEM_2594,1
ITEM_228,ITEM_4403,1
ITEM_3967,ITEM_4341,1
ITEM_3209,ITEM_3771,1
ITEM_3571,ITEM_699,1
ITEM_4896,ITEM_694,1
ITEM_1483,ITEM_2045,1
ITEM_3177,ITEM_860,1
ITEM_1321,ITEM_4335,1
ITEM_3023,ITEM_553,1
ITEM_2964,ITEM_4497,1
ITEM_1540,ITEM_2139,1
ITEM_1412,ITEM_218,1
ITEM_1063,ITEM_354,1
ITEM_2811,ITEM_759,1
ITEM_3042,ITEM_3494,1
ITEM_2365,ITEM_4199,1
ITEM_137,ITEM_4783,1
ITEM_1722,ITEM_3105,1
ITEM_3528,ITEM_4246,1
ITEM_2527,ITEM_3744,1
ITEM_2171,ITEM_4704,1
ITEM_1174,ITEM_2125,1
ITEM_2772,ITEM_615,1
ITEM_3010,ITEM_4126,1
ITEM_2564,ITEM_4749,1
ITEM_1624,ITEM_4323,1
ITEM_2218,ITEM_4786,1
ITEM_1752,ITEM_3568,1
ITEM_1925,ITEM_303,1
ITEM_1302,ITEM_1618,1
ITEM_1039,ITEM_2710,1
ITEM_2728,ITEM_383,1
ITEM_3893,ITEM_4456,1
ITEM_1841,ITEM_321,1
ITEM_3012,ITEM_3448,1
ITEM_1133,ITEM_1734,1
ITEM_3186,ITEM_4058,1
ITEM_3758,ITEM_3854,1
ITEM_1156,ITEM_4277,1
ITEM_2286,ITEM_824,1
ITEM_1157,ITEM_3024,1
ITEM_3619,ITEM_752,1
ITEM_3284,ITEM_4174,1
ITEM_1098,ITEM_3534,1
ITEM_2184,ITEM_4477,1
ITEM_1400,ITEM_1534,1
ITEM_2023,ITEM_2561,1
ITEM_1818,ITEM_3704,1
ITEM_2578,ITEM_3198,1
ITEM_1352,ITEM_1464,1
ITEM_3754,ITEM_407,1
ITEM_3209,ITEM_855,1
ITEM_108,ITEM_4534,1
ITEM_1768,ITEM_939,1
ITEM_2669,ITEM_4202,1
ITEM_3953,ITEM_4943,1
ITEM_1075,ITEM_3688,1
ITEM_2661,ITEM_2962,1
ITEM_1924,ITEM_4136,1
ITEM_1308,ITEM_1703,1
ITEM_2000,ITEM_368,1
ITEM_4315,ITEM_4916,1
ITEM_1174,ITEM_200,1
ITEM_2523,ITEM_3279,1
ITEM_178,ITEM_3990,1
ITEM_3528,ITEM_4806,1
ITEM_2178,ITEM_786,1
ITEM_3049,ITEM_638,1
ITEM_3838,ITEM_735,1
ITEM_2197,ITEM_4369,1
ITEM_238,ITEM_364,1
ITEM_1210,ITEM_3803,1
ITEM_1439,ITEM_2502,1
ITEM_177,ITEM_4904,1
ITEM_289,ITEM_4500,1
ITEM_3225,ITEM_4434,1
ITEM_4577,ITEM_702,1
ITEM_4098,ITEM_851,1
ITEM_1053,ITEM_2555,1
ITEM_1796,ITEM_2782,1
ITEM_2142,ITEM_428,1
ITEM_1607,ITEM_2656,1
ITEM_1607,ITEM_3475,1
ITEM_1101,ITEM_1398,1
ITEM_2943,ITEM_56,1
ITEM_2440,ITEM_2656,1
ITEM_1999,ITEM_398,1
ITEM_1227,ITEM_3600,1
ITEM_2159,ITEM_4322,1
ITEM_1200,ITEM_3891,1
ITEM_2252,ITEM_4711,1
ITEM_2843,ITEM_316,1
ITEM_2551,ITEM_3738,1
ITEM_4157,ITEM_4878,1
ITEM_2005,ITEM_572,1
ITEM_2681,ITEM_5,1
ITEM_4035,ITEM_4765,1
ITEM_1479,ITEM_3558,1
ITEM_1469,ITEM_1886,1
ITEM_3587,ITEM_3746,1
ITEM_3566,ITEM_979,1
ITEM_1687,ITEM_3639,1
ITEM_3449,ITEM_481,1
ITEM_4483,ITEM_4650,1
ITEM_1675,ITEM_3802,1
ITEM_1625,ITEM_599,1
ITEM_558,ITEM_709,1
ITEM_3958,ITEM_668,1
ITEM_2167,ITEM_4139,1
ITEM_2771,ITEM_4465,1
ITEM_3042,ITEM_3124,1
ITEM_3243,ITEM_4177,1
ITEM_2341,ITEM_3159,1
ITEM_2636,ITEM_2918,1
ITEM_1913,ITEM_3625,1
ITEM_2627,ITEM_3851,1
ITEM_1221,ITEM_993,1
ITEM_2537,ITEM_993,1
