item_1,item_2,frequency
ITEM_4174,ITEM_962,1
ITEM_3240,ITEM_3851,1
ITEM_4005,ITEM_4010,1
ITEM_2564,ITEM_3757,1
ITEM_1716,ITEM_835,1
ITEM_1136,ITEM_1733,1
ITEM_2397,ITEM_4427,1
ITEM_2636,ITEM_4038,1
ITEM_1408,ITEM_966,1
ITEM_1299,ITEM_4996,1
ITEM_4760,ITEM_486,1
ITEM_2040,ITEM_2079,1
ITEM_2689,ITEM_3783,1
ITEM_3197,ITEM_4315,1
ITEM_1676,ITEM_1919,1
ITEM_2926,ITEM_4883,1
ITEM_1387,ITEM_4139,1
ITEM_1379,ITEM_827,1
ITEM_1961,ITEM_2498,1
ITEM_4260,ITEM_4453,1
ITEM_1831,ITEM_4397,1
ITEM_2884,ITEM_444,1
ITEM_1851,ITEM_478,1
ITEM_4856,ITEM_594,1
ITEM_3216,ITEM_617,1
ITEM_1852,ITEM_4160,1
ITEM_304,ITEM_3655,1
ITEM_3593,ITEM_3655,1
ITEM_1635,ITEM_916,1
ITEM_4292,ITEM_4816,1
ITEM_199,ITEM_457,1
ITEM_3154,ITEM_528,1
ITEM_4459,ITEM_4951,1
ITEM_3720,ITEM_392,1
ITEM_2311,ITEM_3051,1
ITEM_4849,ITEM_525,1
ITEM_1047,ITEM_3996,1
ITEM_3014,ITEM_4344,1
ITEM_2740,ITEM_92,1
ITEM_1174,ITEM_1322,1
ITEM_4487,ITEM_743,1
ITEM_2214,ITEM_4379,1
ITEM_1357,ITEM_628,1
ITEM_2953,ITEM_4482,1
ITEM_480,ITEM_867,1
ITEM_4388,ITEM_968,1
ITEM_2268,ITEM_3640,1
ITEM_3497,ITEM_819,1
ITEM_1284,ITEM_2713,1
ITEM_3788,ITEM_721,1
ITEM_1712,ITEM_211,1
ITEM_2584,ITEM_3487,1
ITEM_2088,ITEM_995,1
ITEM_2271,ITEM_4209,1
ITEM_3554,ITEM_710,1
ITEM_133,ITEM_140,1
ITEM_1804,ITEM_2628,1
ITEM_1614,ITEM_337,1
ITEM_3846,ITEM_3893,1
ITEM_2374,ITEM_4452,1
ITEM_2302,ITEM_4387,1
ITEM_2566,ITEM_2832,1
ITEM_182,ITEM_2286,1
ITEM_4906,ITEM_4925,1
ITEM_2796,ITEM_3025,1
ITEM_1639,ITEM_4187,1
ITEM_2463,ITEM_598,1
ITEM_1271,ITEM_3003,1
ITEM_138,ITEM_3465,1
ITEM_1417,ITEM_4153,1
ITEM_2864,ITEM_2986,1
ITEM_221,ITEM_3564,1
ITEM_2568,ITEM_3701,2
ITEM_1268,ITEM_3566,1
ITEM_1996,ITEM_2571,1
ITEM_2163,ITEM_929,1
ITEM_1932,ITEM_3610,1
ITEM_1577,ITEM_707,1
ITEM_2912,ITEM_4507,1
ITEM_3748,ITEM_837,1
ITEM_1988,ITEM_4782,1
ITEM_946,ITEM_999,1
ITEM_2248,ITEM_2357,1
ITEM_1154,ITEM_2790,1
ITEM_131,ITEM_3900,1
ITEM_197,ITEM_3322,1
ITEM_2916,ITEM_792,1
ITEM_1349,ITEM_2052,1
ITEM_198,ITEM_2288,1
ITEM_1763,ITEM_2648,1
ITEM_1852,ITEM_497,1
ITEM_423,ITEM_91,1
ITEM_231,ITEM_4932,1
ITEM_4813,ITEM_4993,1
ITEM_2069,ITEM_2831,2
ITEM_3149,ITEM_941,1
ITEM_3419,ITEM_954,1
ITEM_2306,ITEM_2891,1
ITEM_2074,ITEM_2978,1
ITEM_103,ITEM_3519,1
ITEM_2392,ITEM_3733,1
ITEM_1531,ITEM_3748,1
ITEM_1159,ITEM_805,1
ITEM_1557,ITEM_4668,1
ITEM_1338,ITEM_362,1
ITEM_122,ITEM_3481,1
ITEM_1293,ITEM_4516,1
ITEM_2375,ITEM_3310,1
ITEM_2186,ITEM_2675,1
ITEM_103,ITEM_2194,1
ITEM_1332,ITEM_2589,1
ITEM_1269,ITEM_2369,1
ITEM_3529,ITEM_753,1
ITEM_2219,ITEM_4892,1
ITEM_381,ITEM_4651,1
ITEM_4161,ITEM_788,1
ITEM_3937,ITEM_4168,1
ITEM_1237,ITEM_155,1
ITEM_104,ITEM_4567,1
ITEM_2205,ITEM_958,1
ITEM_4822,ITEM_961,1
ITEM_4379,ITEM_76,1
ITEM_105,ITEM_4826,1
ITEM_3738,ITEM_3818,1
ITEM_2323,ITEM_3013,1
ITEM_3529,ITEM_750,1
ITEM_1612,ITEM_4174,1
ITEM_1743,ITEM_998,1
ITEM_148,ITEM_3606,1
ITEM_2254,ITEM_4923,1
ITEM_2470,ITEM_2714,1
ITEM_2618,ITEM_4428,1
ITEM_112,ITEM_2281,1
ITEM_523,ITEM_791,1
ITEM_1851,ITEM_2147,1
ITEM_3517,ITEM_824,1
ITEM_3627,ITEM_56,1
ITEM_71,ITEM_91,1
ITEM_2578,ITEM_2834,1
ITEM_343,ITEM_3870,1
ITEM_3986,ITEM_4450,1
ITEM_3257,ITEM_436,1
ITEM_4917,ITEM_680,1
ITEM_2957,ITEM_3952,1
ITEM_1214,ITEM_4869,1
ITEM_1949,ITEM_4508,1
ITEM_2841,ITEM_4771,1
ITEM_1362,ITEM_349,1
ITEM_4154,ITEM_4832,1
ITEM_1402,ITEM_3796,1
ITEM_1242,ITEM_2548,1
ITEM_373,ITEM_762,1
ITEM_2451,ITEM_4781,1
ITEM_1401,ITEM_950,1
ITEM_2807,ITEM_3547,1
ITEM_1021,ITEM_3298,1
ITEM_3113,ITEM_405,1
ITEM_3428,ITEM_4553,1
ITEM_1076,ITEM_3593,1
ITEM_2184,ITEM_3268,1
ITEM_2124,ITEM_3898,1
ITEM_3693,ITEM_4585,1
ITEM_2070,ITEM_562,1
ITEM_1554,ITEM_3584,1
ITEM_2176,ITEM_4717,1
ITEM_1399,ITEM_4371,1
ITEM_40,ITEM_4801,1
ITEM_2662,ITEM_63,1
ITEM_2690,ITEM_4317,1
ITEM_3745,ITEM_728,1
ITEM_2907,ITEM_4531,1
ITEM_1016,ITEM_3658,1
ITEM_3984,ITEM_883,1
