item_1,item_2,frequency
ITEM_2183,ITEM_2334,1
ITEM_1411,ITEM_1495,1
ITEM_3138,ITEM_4510,1
ITEM_2523,ITEM_4807,1
ITEM_4953,ITEM_814,1
ITEM_1440,ITEM_3575,1
ITEM_1801,ITEM_4283,1
ITEM_4597,ITEM_61,1
ITEM_3204,ITEM_4947,1
ITEM_2714,ITEM_3410,1
ITEM_1593,ITEM_2444,1
ITEM_3900,ITEM_623,1
ITEM_1790,ITEM_2326,1
ITEM_1871,ITEM_3069,1
ITEM_1984,ITEM_3045,1
ITEM_2689,ITEM_4360,1
ITEM_4172,ITEM_4324,1
ITEM_386,ITEM_4168,1
ITEM_3414,ITEM_4577,1
ITEM_4019,ITEM_4361,1
ITEM_202,ITEM_3939,1
ITEM_3276,ITEM_3311,1
ITEM_2700,ITEM_3414,1
ITEM_3385,ITEM_4664,1
ITEM_1506,ITEM_2235,1
ITEM_2475,ITEM_802,1
ITEM_2192,ITEM_2759,1
ITEM_1442,ITEM_502,1
ITEM_1187,ITEM_4741,1
ITEM_2259,ITEM_4893,1
ITEM_3143,ITEM_3920,1
ITEM_3440,ITEM_731,2
ITEM_1224,ITEM_2708,1
ITEM_467,ITEM_4807,1
ITEM_2195,ITEM_2308,1
ITEM_1626,ITEM_2254,1
ITEM_1238,ITEM_3670,1
ITEM_3606,ITEM_4254,1
ITEM_1752,ITEM_2078,1
ITEM_501,ITEM_651,1
ITEM_1548,ITEM_4120,1
ITEM_3229,ITEM_411,1
ITEM_1738,ITEM_2942,1
ITEM_2635,ITEM_3246,1
ITEM_3666,ITEM_4420,1
ITEM_2368,ITEM_4453,1
ITEM_1225,ITEM_3151,1
ITEM_4792,ITEM_731,1
ITEM_1558,ITEM_1664,1
ITEM_4933,ITEM_86,1
ITEM_2426,ITEM_2747,1
ITEM_1347,ITEM_1667,1
ITEM_4042,ITEM_4183,1
ITEM_1630,ITEM_831,1
ITEM_1359,ITEM_907,1
ITEM_3895,ITEM_804,1
ITEM_2876,ITEM_4489,1
ITEM_3279,ITEM_3894,1
ITEM_852,ITEM_876,1
ITEM_2169,ITEM_2588,1
ITEM_146,ITEM_163,1
ITEM_1650,ITEM_2897,1
ITEM_2253,ITEM_3305,1
ITEM_3028,ITEM_3269,1
ITEM_190,ITEM_3860,1
ITEM_1621,ITEM_4394,1
ITEM_3249,ITEM_4430,1
ITEM_13,ITEM_279,1
ITEM_3470,ITEM_442,1
ITEM_406,ITEM_4143,1
ITEM_2318,ITEM_3547,1
ITEM_4676,ITEM_693,1
ITEM_2661,ITEM_3428,1
ITEM_2818,ITEM_3623,1
ITEM_3647,ITEM_3942,1
ITEM_1484,ITEM_2862,1
ITEM_3303,ITEM_3658,1
ITEM_1615,ITEM_4839,1
ITEM_1627,ITEM_3050,1
ITEM_4575,ITEM_704,1
ITEM_1040,ITEM_2159,1
ITEM_2683,ITEM_497,1
ITEM_4968,ITEM_561,1
ITEM_2732,ITEM_413,1
ITEM_4092,ITEM_4523,1
ITEM_1924,ITEM_3861,1
ITEM_1449,ITEM_3404,1
ITEM_236,ITEM_3329,1
ITEM_3205,ITEM_555,1
ITEM_1512,ITEM_2049,1
ITEM_3722,ITEM_4932,1
ITEM_2159,ITEM_4813,1
ITEM_2281,ITEM_2488,1
ITEM_1462,ITEM_1718,1
ITEM_3750,ITEM_41,1
ITEM_4807,ITEM_745,1
ITEM_3609,ITEM_4016,1
ITEM_1703,ITEM_312,1
ITEM_3842,ITEM_604,1
ITEM_1064,ITEM_2844,1
ITEM_2,ITEM_4457,1
ITEM_2648,ITEM_3456,1
ITEM_1773,ITEM_2368,1
ITEM_4427,ITEM_997,1
ITEM_2111,ITEM_3559,1
ITEM_1333,ITEM_243,1
ITEM_2229,ITEM_2738,1
ITEM_4435,ITEM_4663,1
ITEM_2068,ITEM_2341,1
ITEM_118,ITEM_270,1
ITEM_1338,ITEM_766,1
ITEM_1578,ITEM_508,1
ITEM_1649,ITEM_2995,1
ITEM_2401,ITEM_4625,1
ITEM_3942,ITEM_4141,1
ITEM_1849,ITEM_2486,1
ITEM_3322,ITEM_4563,1
ITEM_1490,ITEM_4849,1
ITEM_3153,ITEM_975,1
ITEM_151,ITEM_3448,1
ITEM_2560,ITEM_4690,1
